model,kv_type,path,fa,prompt_tokens,decode_tokens,pp_tok_s,tg_tok_s,status,raw_log
qwen38-27b,q8_0,kvu,on,1024,8,3070.76,53.1182,ok,raw/qwen38-27b-q8_0-kvu-fa-on-pp.json
qwen38-27b,q8_0,kvp,on,1024,8,2713.54,29.81,ok,raw/qwen38-27b-q8_0-kvp-fa-on.log
qwen38-27b,q8_0,kvu,off,1024,8,,,unsupported_quantized_v_requires_fa,
qwen38-27b,q8_0,kvp,off,1024,8,,,unsupported_quantized_v_requires_fa,
qwen38-27b,turbo3,kvu,on,1024,8,2970.02,51.4604,ok,raw/qwen38-27b-turbo3-kvu-fa-on-pp.json
qwen38-27b,turbo3,kvp,on,1024,8,2645.76,27.95,ok,raw/qwen38-27b-turbo3-kvp-fa-on.log
qwen38-27b,turbo3,kvu,off,1024,8,,,unsupported_quantized_v_requires_fa,
qwen38-27b,turbo3,kvp,off,1024,8,,,unsupported_quantized_v_requires_fa,
qwen38-27b,turbo4,kvu,on,1024,8,3001.5,50.952,ok,raw/qwen38-27b-turbo4-kvu-fa-on-pp.json
qwen38-27b,turbo4,kvp,on,1024,8,2576.96,27.23,ok,raw/qwen38-27b-turbo4-kvp-fa-on.log
qwen38-27b,turbo4,kvu,off,1024,8,,,unsupported_quantized_v_requires_fa,
qwen38-27b,turbo4,kvp,off,1024,8,,,unsupported_quantized_v_requires_fa,
tiel-35b-a3b,q8_0,kvu,on,1024,8,8989.47,188.951,ok,raw/tiel-35b-a3b-q8_0-kvu-fa-on-pp.json
tiel-35b-a3b,q8_0,kvp,on,1024,8,9177.27,67.45,ok,raw/tiel-35b-a3b-q8_0-kvp-fa-on.log
tiel-35b-a3b,q8_0,kvu,off,1024,8,,,unsupported_quantized_v_requires_fa,
tiel-35b-a3b,q8_0,kvp,off,1024,8,,,unsupported_quantized_v_requires_fa,
tiel-35b-a3b,turbo3,kvu,on,1024,8,9812.1,177.431,ok,raw/tiel-35b-a3b-turbo3-kvu-fa-on-pp.json
tiel-35b-a3b,turbo3,kvp,on,1024,8,8776.74,59.63,ok,raw/tiel-35b-a3b-turbo3-kvp-fa-on.log
tiel-35b-a3b,turbo3,kvu,off,1024,8,,,unsupported_quantized_v_requires_fa,
tiel-35b-a3b,turbo3,kvp,off,1024,8,,,unsupported_quantized_v_requires_fa,
tiel-35b-a3b,turbo4,kvu,on,1024,8,9789.25,174.353,ok,raw/tiel-35b-a3b-turbo4-kvu-fa-on-pp.json
tiel-35b-a3b,turbo4,kvp,on,1024,8,8554.93,59.22,ok,raw/tiel-35b-a3b-turbo4-kvp-fa-on.log
tiel-35b-a3b,turbo4,kvu,off,1024,8,,,unsupported_quantized_v_requires_fa,
tiel-35b-a3b,turbo4,kvp,off,1024,8,,,unsupported_quantized_v_requires_fa,
